orig_order,id,establishment_id,phone,latitude,longitude,formatted_address,address_fs,name,name_fs_search,fs_id,checkinsCount,createdat,days,avg_checkins,avg_checkins_round,avg_visitsCount,avg_visitsCount_round,rating,priceTier,brand_name,yelp_id,exit_mapping/exit_id,exit_latitude,exit_longitude,destination_latitude,destination_longitude,exit_mapping/distance,exit_mapping/cardinal_direction_short,exit_mapping/cardinal_direction_long,exit_mapping/turn_direction_short,exit_mapping/turn_direction_long,amenities/0/id,amenities/0/name,amenities/0/priority,amenities/0/image_prefix,top_priority_amenity/id,top_priority_amenity/name,top_priority_amenity/priority,top_priority_amenity/image_prefix,logo/id,ll,phone_str,visitsCount
81,200544,153,1-610-374-3095,40.320688,-75.934402,"400 Lancaster Ave, Reading, PA 19602",,McDonalds,McDonald's,4ba2a76af964a520f90c38e3,1394,1268950890,3015.872025,46.22212044,,84.8510805,,6.1,1,McDonalds,mcdonalds-reading-17,35184,40.293949,-75.902201,40.297806,-75.899969,1.49,NW,Northwest,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,771,"40.320688,-75.934402",6103743095,2559
90,291887,173,1-610-775-3020,40.314636,-75.94191,"930 Lancaster Ave, Reading, PA 19607",,Wendys,Wendy's,4bc63dfbbf29c9b68a81f92a,489,1271283195,2988.877755,16.36065574,,31.28264442,,6.1,1,Wendys,wendys-reading-3,35184,40.293949,-75.902201,40.297806,-75.899969,1.55,W,West,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,782,"40.314636,-75.94191",6107753020,935
103,242043,153,1-610-582-5556,40.298552,-75.84765,"5370 Perkiomen Avenue, Reading, PA 19606-9530",,McDonalds,McDonald's,4baca409f964a52024003be3,1078,1269605385,3008.296852,35.83422957,,61.09769383,,5.5,1,McDonalds,mcdonalds-reading-13,35184,40.293949,-75.902201,40.297806,-75.899969,1.71,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,771,"40.298552,-75.84765",6105825556,1838
108,128863,173,1-610-779-3257,40.299034,-75.845616,"5411 Perkiomen Ave, Reading, PA 19606",,Wendys,Wendy's,4bab8dc4f964a52017b33ae3,345,1269534148,3009.121354,11.4651408,,13.49231062,,5.5,1,Wendys,wendys-reading-4,35184,40.293949,-75.902201,40.297806,-75.899969,1.78,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,782,"40.299034000000006,-75.845616",6107793257,406
114,306069,283,1-610-582-1515,40.295826,-75.84451,"5506 Perkiomen Ave, Reading, PA 19606",,Subway,Subway,4bb609d12f70c9b67cc78430,398,1270221265,3001.168611,13.26150082,,13.32814153,,6.9,1,Subway,subway-reading-12,35184,40.293949,-75.902201,40.297806,-75.899969,1.82,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"40.295826,-75.84451",6105821515,400
117,306113,283,1-610-374-9290,40.335672,-75.926172,"549 Penn St, Reading, PA 19601",,Subway,SUBWAY,4c72a1d013228cfa48892b65,114,1282580944,2858.116771,3.988640393,,5.738044074,,6.6,1,Subway,subway-reading,35184,40.293949,-75.902201,40.297806,-75.899969,1.84,NW,Northwest,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"40.335671999999995,-75.926172",6103749290,164
128,306085,283,1-610-750-7422,40.307047,-75.956832,"518 East Lancaster Avenue, Reading, PA 19607",,Subway,SUBWAY,4be47c8ebcef2d7fb09f02e5,271,1273265294,2965.936794,9.137079406,,11.12633286,,6.8,1,Subway,subway-shillington,35184,40.293949,-75.902201,40.297806,-75.899969,1.9,W,West,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"40.307047,-75.95683199999999",6107507422,330
132,199130,151,1-610-582-9211,40.296174,-75.840475,"5800 Perkiomen Avenue, Reading, PA 19606",,KFC,KFC/Taco Bell,4b636f44f964a52092792ae3,683,1264807748,3063.825058,22.29239552,,40.37436788,,5.7,1,KFC,kfc-reading-11,35184,40.293949,-75.902201,40.297806,-75.899969,1.95,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,786,"40.296174,-75.840475",6105829211,1237
142,489360,167,1-610-779-9200,40.30815,-75.86236,"4515 Perkiomen Avenue, Reading, PA 19606",,Sonic,SONICí__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇí__í_í_Œëíç_í__í_í_Œëíçí__í__í_í__í__í_í_Œëíçí__Œëíç_í__ŒëŒçí__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_í__ŒëŒÇ__í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇŒëíç_ŒëíçŒëŒ¢_Driveí__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇí__í_í_Œëíç_í__í_í_Œëíçí__í__í_í__í__í_í_Œëíçí__Œëíç_í__ŒëŒçí__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_í__ŒëŒÇ__í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇŒëíç_ŒëíçŒëŒ¢_In,4b899b0df964a520944532e3,2024,1267309325,3034.87162,66.69145365,,85.44018741,,7,2,Sonic,sonic-drive-in-reading,35184,40.293949,-75.902201,40.297806,-75.899969,2.11,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,789,"40.30815,-75.86236",6107799200,2593
149,440896,141,1-610-779-2001,40.30623,-75.86049,"4619 Perkiomen Ave, Reading, PA 19606",,Five Guys Burgers,Fiveí__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇí__í_í_Œëíç_í__í_í_Œëíçí__í__í_í__í__í_í_Œëíçí__Œëíç_í__ŒëŒçí__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_í__ŒëŒÇ__í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇŒëíç_ŒëíçŒëŒ¢_Guys,4b3cd761f964a5201a8825e3,1216,1262278497,3093.098796,39.31332557,,50.91980902,,7.5,2,Five Guys Burgers,five-guys-reading-3,35184,40.293949,-75.902201,40.297806,-75.899969,2.16,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,818,"40.30623,-75.86049",6107792001,1575
159,1172235,130,1-610-779-5995,40.306764,-75.859228,"4675 Perkiomen Ave, Reading, PA 19606",,Chick-Fil-A,Chick-fil-A,4bb33fa62397b71386d737b3,2412,1270038438,3003.284664,80.31206727,,131.2895859,,7.9,1,Chick-Fil-A,chick-fil-a-reading-2,35184,40.293949,-75.902201,40.297806,-75.899969,2.23,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,796,"40.306764,-75.859228",6107795995,3943
160,306114,283,1-484-709-2198,40.335448,-75.947481,"450 Penn Ave, West Reading, PA 19611",,Subway,SUBWAY,5106b53be4b0f083c1d00683,119,1359394107,1969.075532,6.043445162,,8.531922582,,7,1,Subway,a,35184,40.293949,-75.902201,40.297806,-75.899969,2.24,NW,Northwest,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"40.335448,-75.94748100000001",4847092198,168
182,411461,158,1-610-370-9300,40.3278,-75.8802,"2850 Saint Lawrence Ave, Reading, PA 19606-2232",,Papa Johns Pizza,Papaí__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇí__í_í_Œëíç_í__í_í_Œëíçí__í__í_í__í__í_í_Œëíçí__Œëíç_í__ŒëŒçí__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_í__ŒëŒÇ__í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇŒëíç_ŒëíçŒëŒ¢_John'sí__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇí__í_í_Œëíç_í__í_í_Œëíçí__í__í_í__í__í_í_Œëíçí__Œëíç_í__ŒëŒçí__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_í__ŒëŒÇ__í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇŒëíç_ŒëíçŒëŒ¢_Pizza,4d86837cf1e56ea8d47f9f8a,60,1300661116,2648.855521,2.265129205,,2.416137819,,6.6,1,Papa Johns Pizza,papa-johns-pizza-reading,35184,40.293949,-75.902201,40.297806,-75.899969,2.32,NE,Northeast,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,791,"40.3278,-75.8802",6103709300,64
185,286452,153,1-610-372-0465,40.350644,-75.919376,"1001 N. 9th Street, Reading, PA 19604",,McDonalds,McDonald's,4c6eb84d4d24b60c4480d9d8,418,1282324557,2861.084213,14.60984609,,47.28976497,,6.6,1,McDonalds,mcdonalds-reading-9,35184,40.293949,-75.902201,40.297806,-75.899969,2.35,N,North,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,771,"40.350644,-75.919376",6103720465,1353
197,201372,153,1-610-372-2298,40.336627,-75.954132,"8th & Hill Ave, Wyomissing, PA 19610",,McDonalds,McDonald_í__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇí__í_í_Œëíç_í__í_í_Œëíçí__í__í_í__í__í_í_Œëíçí__Œëíç_í__ŒëŒçí__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇí__í_í_Œëíç_í__í_í_Œëíçí__í__í_í__í__í_í_Œëíçí__Œëíç_í__ŒëŒ¢í__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇí__í_í_Œëíç_í__í_í_Œëíçí__í__í_í__í__í_í_Œëíçí__Œëíç_í__ŒëŒçí__í_í_í__ŒëŒÇ__í__í_í_í__ŒëŒÇ_í__í_í_Œëíçí__í__í_í_í__ŒëŒ¢í__í_í_Œëíçí__í__í_í__í__í_í_í__ŒëŒÇí__í_í_Œëíç_í__í_í_Œëíçí__í__í_í__í__í_í_Œëíçí__Œëíç_í__ŒëŒ±_s,4c1a254c4ff90f4752f11049,1731,1276781900,2925.235336,59.17472618,,128.1264435,,5.7,1,McDonalds,mcdonalds-reading-11,35184,40.293949,-75.902201,40.297806,-75.899969,2.43,NW,Northwest,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,771,"40.336627,-75.954132",6103722298,3748
217,199151,151,1-610-777-3599,40.305777,-75.978516,"241 Lancaster Pike West, Reading, PA 19607",,KFC,kentucky fried Chicken,4bc8ae18ab62d13aa1c617d4,468,1271442968,2987.02853,15.66774456,,20.99076034,,5.7,1,KFC,kfc-reading-3,35184,40.293949,-75.902201,40.297806,-75.899969,2.59,W,West,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,786,"40.305777,-75.978516",6107773599,627
218,814527,121,1-610-775-1887,40.305634,-75.979238,"2249 Lancaster Pike, Shillington, PA 19607",,Arbys,Arby's,4bf56583706e20a1d566aa98,952,1274373507,2953.110255,32.237198,,47.88172056,,6.7,1,Arbys,arbys-reading,35184,40.293949,-75.902201,40.297806,-75.899969,2.61,W,West,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,790,"40.305634000000005,-75.979238",6107751887,1414
240,569050,283,1-610-844-9798,40.364153,-75.920157,"1920 Kutztown Rd, Reading, PA 19604",,Subway,Subway,531deeca498e8f9d9710904f,17,1394470602,1563.097581,1.087584051,,2.11119257,,6.5,1,Subway,a,35184,40.293949,-75.902201,40.297806,-75.899969,2.92,N,North,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"40.364153,-75.92015699999999",6108449798,33
290,687312,173,1-570-546-4998,41.211979,-76.766359,"40 Neidigs Dr, Muncy, PA 17756",,Wendys,Wendy's,50db1692e4b079e5e7c47087,162,1356535442,2002.161933,8.091253626,,25.97192522,,6.5,1,Wendys,a,35522,41.207723,-76.769024,41.211564,-76.768917,0.14,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,782,"41.211979,-76.766359",5705464998,520
294,307069,283,1-570-935-0466,41.210968,-76.759078,"1376 E. Penn Street, Muncy, PA 17756",,Subway,Subway,4cb0f513eb65b1f73fe070cd,149,1286665491,2810.841921,5.300902867,,5.407632455,,6.5,1,Subway,a,35522,41.207723,-76.769024,41.211564,-76.768917,0.32,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"41.210968,-76.759078",5709350466,152
309,286796,153,1-570-584-3282,41.230071,-76.734668,"755 Sthy 405, Hughesville, PA 17737",,McDonalds,McDonald's,4c5760f06201e21ee567a66e,300,1280794864,2878.788993,10.4210486,,20.18209745,,5.5,1,McDonalds,mcdonalds-hughesville,35522,41.207723,-76.769024,41.211564,-76.768917,1.36,NE,Northeast,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,771,"41.230071,-76.734668",5705843282,581
326,814892,121,1-570-546-9592,41.240732,-76.826464,"300 Lycoming Mall Cir Ste 2029, Muncy, PA 17756",300 Lycoming Mall Cir Ste 2029,Arbys,Arby's,4d5ad405916dbfc9a92560b9,164,1297798149,2681.991713,6.114858566,,6.338572904,,6,1,Arbys,arbys-muncy,35524,41.245989,-76.828548,41.247912,-76.833196,0.01,SE,Southeast,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,790,"41.240732,-76.826464",5705469592,170
328,189246,127,1-570-935-0031,41.243818,-76.833232,"180 S Lycoming Mall Rd, Muncy, PA 17756-8152",180 S Lycoming Mall Rd,Burger King,Burger King,4bf964a45317a593212b017f,409,1274635428,2950.078762,13.86403663,,21.35536204,,5.4,1,Burger King,burger-king-muncy,35524,41.245989,-76.828548,41.247912,-76.833196,0.18,S,South,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,779,"41.243818,-76.833232",5709350031,630
331,307096,283,1-570-546-3680,41.242148,-76.833909,"340 S. Lycoming Mall Rd, Williamsport, PA 17756",Lycoming Mall Rd,Subway,SUBWAY,4be1b18787e42d7f758e870b,350,1273082247,2968.055394,11.79223274,,14.45390814,,6.3,1,Subway,subway-muncy-2,35524,41.245989,-76.828548,41.247912,-76.833196,0.25,S,South,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"41.242148,-76.83390899999999",5705463680,429
333,307094,283,1-570-546-9503,41.241024,-76.827753,"300 S Lycoming Mall Rd, Muncy, PA 17756",in Lycoming Mall,Subway,SUBWAY,50195d91e4b0bd857c030792,29,1343839633,2149.104167,1.349399459,,1.488992507,,6.6,1,Subway,subway-muncy-3,35524,41.245989,-76.828548,41.247912,-76.833196,0.34,SE,Southeast,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"41.241023999999996,-76.827753",5705469503,32
349,307112,283,1-570-368-8782,41.260904,-76.916924,"999 North Loyalsock Ave, Montoursville, PA 17754",999 N Loyalsock Ave,Subway,SUBWAY,4d99f7659079b1f7df234e0a,142,1301935973,2634.100231,5.390835106,,6.719562068,,6.5,1,Subway,subway-montoursville,35526,41.263857,-76.914421,41.265517,-76.913261,0.23,SW,Southwest,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"41.260904,-76.916924",5703688782,177
351,291971,173,1-570-368-3477,41.261447,-76.9165,"1007 N Loyalsock Ave, Montoursville, PA 17754",1007 N Loyalsock Ave,Wendys,Wendy's,4bfec574e584c92819366d25,470,1274987892,2945.999317,15.95383941,,26.9518053,,5.8,1,Wendys,wendys-montoursville,35526,41.263857,-76.914421,41.265517,-76.913261,0.33,SW,Southwest,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,782,"41.261447,-76.9165",5703683477,794
380,443590,1056,1-570-505-3699,41.24991,-76.92847,"243 Broad St, Montoursville, PA 17754",243 Broad St,Marco's Pizza,Marco's Pizza,513a1411e4b0946901de4230,32,1362760721,1930.110093,1.657936515,,5.181051609,,,1,Marco's Pizza,a,35527,41.249006,-76.94066,41.247109,-76.951266,1.2,E,East,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,881,"41.24991,-76.92846999999999",5705053699,100
383,307054,283,1-570-547-2439,41.188392,-76.91434,"Elimsport Rd & Route 15, Montgomery, PA 17752","Montgomery, PA 17752",Subway,Subway,5aea21fcff0306002c04da3f,1,1525293564,48.94292824,2.043196098,,8.172784391,,,1,Subway,subway-montgomery-8,35527,41.249006,-76.94066,41.247109,-76.951266,2.79,SE,Southeast,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"41.188392,-76.91434",5705472439,4
388,814889,121,1-570-322-2336,41.249891,-76.970506,"1726 E 3rd St, Williamsport, PA 17701",1726 E 3rd St,Arbys,Arby's,4c4f05a192b6a59396d3e470,386,1280247201,2885.127685,13.37895726,,17.05297143,,5.9,1,Arbys,arbys-williamsport,35528,41.247108,-76.97011,41.249495,-76.974518,0.13,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,790,"41.249891,-76.970506",5703222336,492
389,201786,153,1-570-323-4880,41.24974,-76.970067,"1730 E 3rd St, Williamsport, PA 17701",1730 E 3rd St,McDonalds,McDonald's,4bd1b3bc462cb7139fa3da07,1023,1272034236,2980.18515,34.32672631,,59.19095328,,5,1,McDonalds,mcdonalds-williamsport-2,35528,41.247108,-76.97011,41.249495,-76.974518,0.14,E,East,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,771,"41.24974,-76.970067",5703234880,1764
391,307101,283,1-570-322-5710,41.250241,-76.969376,"1733 E Third St, Williamsport, PA 17701",1731-1799 E 3rd St,Subway,SUBWAY,4bc9b91e937ca5937c2ca692,225,1271511326,2986.23735,7.534565196,,9.979113015,,6.5,1,Subway,subway-williamsport-2,35528,41.247108,-76.97011,41.249495,-76.974518,0.17,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"41.250240999999995,-76.969376",5703225710,298
397,454359,152,1-570-326-0351,41.25009,-76.96948,"1739 E. 3rd St., Williamsport, PA 17701",1739 E 3rd St,Long John Silvers,Long John Silver's,4bf56af76a31d13ad8da962e,246,1274374903,2953.094097,8.330245901,,10.59905271,,6.5,3,Long John Silvers,long-john-silvers-williamsport-3,35528,41.247108,-76.97011,41.249495,-76.974518,0.26,E,East,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,819,"41.25009,-76.96948",5703260351,313
400,480166,1007,1-570-327-8300,41.24974,-76.96869,"1788 East Third Street, Williamsport, PA 17701",1788 E 3rd St,Little Caesars,Little Caesars Pizza,50d7427ce4b0feaa51379694,140,1356284540,2005.065891,6.982314178,,8.428650686,,6.1,1,Little Caesars,little-caesars-pizza-williamsport-2,35528,41.247108,-76.97011,41.249495,-76.974518,0.3,E,East,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,788,"41.24974,-76.96869000000001",5703278300,169
407,550616,170,-,41.24925,-76.96626,"1837 East Third Street, Williamsport, PA 17701",1837 E 3rd St,Taco Bell,Taco Bell,4bc3a995461576b027fd7e32,715,1271114133,2990.834491,23.90637136,,32.49929085,,5.4,1,Taco Bell,taco-bell-williamsport,35528,41.247108,-76.97011,41.249495,-76.974518,0.43,E,East,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,781,"41.24925,-76.96625999999999",,972
409,17582,151,1-570-322-2345,41.248848,-76.9657,"1850 E. Third Street, Williamsport, PA 17701",1850 E 3rd St,KFC,KFC,4be1d39ba145c928d7b44e80,281,1273090971,2967.954421,9.467800381,,11.25354209,,5.2,1,KFC,kfc-williamsport,35528,41.247108,-76.97011,41.249495,-76.974518,0.46,E,East,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,786,"41.248847999999995,-76.9657",5703222345,334
410,411666,158,1-570-321-1234,41.2493,-76.9837,"1100 Washington Boulevard, Williamsport, PA 17701",1100 Washington Blvd,Papa Johns Pizza,Papa John's Pizza,4d8caafcfe8d41bd5624d705,28,1301064444,2644.187373,1.05892647,,1.248020482,,6.5,1,Papa Johns Pizza,papa-johns-pizza-williamsport,35528,41.247108,-76.97011,41.249495,-76.974518,0.48,W,West,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,791,"41.2493,-76.9837",5703211234,33
428,189221,127,1-570-323-1741,41.247878,-76.9929,"611 Washington Boulevard, Williamsport, PA 17701-5328",611 Washington Blvd,Burger King,Burger King,4c041c2c187ec928a59ab67b,471,1275337772,2941.94978,16.00979062,,26.07114524,,5.8,1,Burger King,burger-king-williamsport,35529,41.244366,-76.991817,41.241752,-76.995513,0.28,NE,Northeast,R,Right,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,779,"41.247878,-76.9929",5703231741,767
457,307083,283,1-570-322-9942,41.233508,-76.993689,"26 E Southern Ave, South Williamsport, PA 17702",32 W Southern Ave,Subway,SUBWAY,4c448dd7f97fbe9a7c54bb30,225,1279561175,2893.067801,7.777211441,,9.436349881,,7.2,1,Subway,subway-williamsport,35530,41.241216,-76.995569,41.23901,-76.999278,0.3,SE,Southeast,L,Left,4,Fast Food,1,FastFood,4,Fast Food,1,FastFood,3206,"41.233508,-76.993689",5703229942,273
